id,title,content_length,complexity_score,tags,created_at,updated_at
0ca249ef-b826-4529-86f9-4ec81d55ac68,A8 Customer Quotes.pdf,2697,0.72,WE_PROJECTS|e85f5466-d964-4554-9fa8-72f0bad577ba|gpt5-processed|cascade-score-70|layer-foundation|layer-strategic|layer-implementation|layer-evolution,2025-08-13T16:07:16.874Z,2025-08-13T16:07:42.472Z
c7620e6b-2148-4f98-845e-dac48c0746db,A8 Customer Quotes.pdf,2697,0.75,WE_PROJECTS|796394f7-2fc7-45bc-aa39-8a86f5d4bb72|gpt5-processed|cascade-score-73|layer-foundation|layer-strategic|layer-implementation|layer-evolution,2025-08-13T16:04:02.199Z,2025-08-13T16:04:30.380Z
56a5a40e-440d-4fbf-bee1-c46c9953b1c3,A8-Accountability Engine.pdf,4930,0.72,WE_PROJECTS|796394f7-2fc7-45bc-aa39-8a86f5d4bb72|gpt5-processed|cascade-score-70|layer-foundation|layer-strategic|layer-implementation|layer-evolution,2025-08-13T16:04:32.413Z,2025-08-13T16:04:58.649Z
de1ecf73-1349-4527-8887-f6786582374a,A8-Accountability Engine.pdf,4930,0.72,WE_PROJECTS|e85f5466-d964-4554-9fa8-72f0bad577ba|gpt5-processed|cascade-score-70|layer-foundation|layer-strategic|layer-implementation|layer-evolution,2025-08-13T16:07:44.499Z,2025-08-13T16:08:08.054Z
f2407573-ea89-4c85-a8e5-1b529618b3eb,A8-Advisor-1pgr.pdf,1639,0.72,WE_PROJECTS|e85f5466-d964-4554-9fa8-72f0bad577ba|gpt5-processed|cascade-score-70|layer-foundation|layer-strategic|layer-implementation|layer-evolution,2025-08-13T16:08:10.092Z,2025-08-13T16:08:40.522Z
3a980e92-15b5-4fb7-aede-a0d9d7d16952,A8-Advisor-1pgr.pdf,1639,0.72,WE_PROJECTS|796394f7-2fc7-45bc-aa39-8a86f5d4bb72|gpt5-processed|cascade-score-70|layer-foundation|layer-strategic|layer-implementation|layer-evolution,2025-08-13T16:05:00.684Z,2025-08-13T16:05:26.439Z
9b519342-df66-44b4-b233-dd5aaf76e11e,A8-Ambition model.pdf,5322,0.72,WE_PROJECTS|e85f5466-d964-4554-9fa8-72f0bad577ba|gpt5-processed|cascade-score-70|layer-foundation|layer-strategic|layer-implementation|layer-evolution,2025-08-13T16:08:42.552Z,2025-08-13T16:09:04.977Z
76e1a8d1-9233-4503-9ea7-4cb46f409be4,A8-Ambition model.pdf,5322,0.72,WE_PROJECTS|796394f7-2fc7-45bc-aa39-8a86f5d4bb72|gpt5-processed|cascade-score-70|layer-foundation|layer-strategic|layer-implementation|layer-evolution,2025-08-13T16:05:28.530Z,2025-08-13T16:05:55.066Z
d7a7606c-72af-4f2e-b02e-fd8fe74da21b,A8-Approach Example.pdf,21170,0.72,WE_PROJECTS|e85f5466-d964-4554-9fa8-72f0bad577ba|gpt5-processed|cascade-score-70|layer-foundation|layer-strategic|layer-implementation|layer-evolution,2025-08-13T16:09:07.017Z,2025-08-13T16:09:55.447Z
62e80cb0-eb6b-4a2f-ae41-1d8e2f552287,A8-Assessments and Assertions.pdf,31463,0.75,WE_PROJECTS|e85f5466-d964-4554-9fa8-72f0bad577ba|gpt5-processed|cascade-score-73|layer-foundation|layer-strategic|layer-implementation|layer-evolution,2025-08-13T16:09:57.486Z,2025-08-13T16:10:28.713Z
6f07d47a-98a1-4b63-90ad-8dea9b06742f,A8-Authentic Communication and Collaboration-WP.pdf,4065,0.72,WE_PROJECTS|e85f5466-d964-4554-9fa8-72f0bad577ba|gpt5-processed|cascade-score-70|layer-foundation|layer-strategic|layer-implementation|layer-evolution,2025-08-13T16:10:30.728Z,2025-08-13T16:11:13.239Z
92bd5a72-7a50-485e-8923-67c5426d9036,A8-Awareness-WP.pdf,13859,0.72,WE_PROJECTS|e85f5466-d964-4554-9fa8-72f0bad577ba|gpt5-processed|cascade-score-70|layer-foundation|layer-strategic|layer-implementation|layer-evolution,2025-08-13T16:11:15.280Z,2025-08-13T16:11:49.187Z
ac50beea-5088-44fb-ad41-06fc3a5bbe40,A8-Barriers to High Performance Communication.pdf,24866,0.72,WE_PROJECTS|e85f5466-d964-4554-9fa8-72f0bad577ba|gpt5-processed|cascade-score-70|layer-foundation|layer-strategic|layer-implementation|layer-evolution,2025-08-13T16:11:51.218Z,2025-08-13T16:12:23.046Z
0a25df48-72ad-4503-b557-405b4b5cb667,A8-CFRs exercises.pdf,1661,0.75,WE_PROJECTS|e85f5466-d964-4554-9fa8-72f0bad577ba|gpt5-processed|cascade-score-73|layer-foundation|layer-strategic|layer-implementation|layer-evolution,2025-08-13T16:12:25.057Z,2025-08-13T16:13:01.937Z
dd7fd1a6-b6c1-4e13-bca6-5d61e25a54f8,A8-Case Studies.pdf,6085,0.75,WE_PROJECTS|e85f5466-d964-4554-9fa8-72f0bad577ba|gpt5-processed|cascade-score-73|layer-foundation|layer-strategic|layer-implementation|layer-evolution,2025-08-13T16:13:03.954Z,2025-08-13T16:14:36.044Z
e6115b7a-9310-49d3-9ce1-712e71e0e99e,A8-Case Study-GROW2.pdf,15205,0.72,WE_PROJECTS|e85f5466-d964-4554-9fa8-72f0bad577ba|gpt5-processed|cascade-score-70|layer-foundation|layer-strategic|layer-implementation|layer-evolution,2025-08-13T16:14:38.358Z,2025-08-13T16:15:15.407Z
8bb3b23d-f7ea-4cb0-add3-bc87de78baca,A8-Centering-WP.pdf,13004,0.72,WE_PROJECTS|e85f5466-d964-4554-9fa8-72f0bad577ba|gpt5-processed|cascade-score-70|layer-foundation|layer-strategic|layer-implementation|layer-evolution,2025-08-13T16:15:17.447Z,2025-08-13T16:15:56.731Z
820a3542-cdd2-4828-8ff3-22c729faa44c,A8-Coaching Module Outline.pdf,23245,0.72,WE_PROJECTS|e85f5466-d964-4554-9fa8-72f0bad577ba|gpt5-processed|cascade-score-70|layer-foundation|layer-strategic|layer-implementation|layer-evolution,2025-08-13T16:15:58.805Z,2025-08-13T16:16:35.751Z
bbd06184-c014-40b5-8739-130375504819,A8-Company Roadmap-Work Sample.pdf,10147,0.72,WE_PROJECTS|e85f5466-d964-4554-9fa8-72f0bad577ba|gpt5-processed|cascade-score-70|layer-foundation|layer-strategic|layer-implementation|layer-evolution,2025-08-13T16:16:37.781Z,2025-08-13T16:17:13.417Z
d9e1eeeb-255f-4035-910b-33288b1b4e27,A8-Conversations for Results-WP.pdf,5738,0.72,WE_PROJECTS|e85f5466-d964-4554-9fa8-72f0bad577ba|gpt5-processed|cascade-score-70|layer-foundation|layer-strategic|layer-implementation|layer-evolution,2025-08-13T16:17:15.439Z,2025-08-13T16:17:57.148Z
54727426-c7a5-4027-a7b5-8d916700879a,A8-Couples Retreat.pdf,13933,0.72,WE_PROJECTS|e85f5466-d964-4554-9fa8-72f0bad577ba|gpt5-processed|cascade-score-70|layer-foundation|layer-strategic|layer-implementation|layer-evolution,2025-08-13T16:17:59.202Z,2025-08-13T16:18:32.797Z
1101b65c-c272-498a-8487-c34a65e1de28,A8-Customer learning.pdf,13033,0.72,WE_PROJECTS|e85f5466-d964-4554-9fa8-72f0bad577ba|gpt5-processed|cascade-score-70|layer-foundation|layer-strategic|layer-implementation|layer-evolution,2025-08-13T16:18:34.840Z,2025-08-13T16:19:01.612Z
f347b8bf-262b-4bdd-a302-c95ad7b1c864,A8-Cycle of Leadership-WP.pdf,4500,0.72,WE_PROJECTS|e85f5466-d964-4554-9fa8-72f0bad577ba|gpt5-processed|cascade-score-70|layer-foundation|layer-strategic|layer-implementation|layer-evolution,2025-08-13T16:19:03.636Z,2025-08-13T16:19:27.250Z
