document_id,title,extraction_type,confidence,extracted_value,extraction_tags
56a5a40e-440d-4fbf-bee1-c46c9953b1c3,A8-Accountability Engine.pdf,recommendations,0.7,"The traditional responsibility-oriented approach tends to feel safer, largely because it resides within the leader’s comfort",auto_backfill|content_heuristic
56a5a40e-440d-4fbf-bee1-c46c9953b1c3,A8-Accountability Engine.pdf,recommendations,0.7,"The accountability-focused approach requires that leaders move outside their comfort zones, investing time in engaging",auto_backfill|content_heuristic
de1ecf73-1349-4527-8887-f6786582374a,A8-Accountability Engine.pdf,recommendations,0.7,"The traditional responsibility-oriented approach tends to feel safer, largely because it resides within the leader’s comfort",auto_backfill|content_heuristic
de1ecf73-1349-4527-8887-f6786582374a,A8-Accountability Engine.pdf,recommendations,0.7,"The accountability-focused approach requires that leaders move outside their comfort zones, investing time in engaging",auto_backfill|content_heuristic
d7a7606c-72af-4f2e-b02e-fd8fe74da21b,A8-Approach Example.pdf,recommendations,0.7,A partner exercise calls for partners to accomplish an objective that can only be reached by trusting and depending on each other 100%. Also requires the entire team,auto_backfill|content_heuristic
d7a7606c-72af-4f2e-b02e-fd8fe74da21b,A8-Approach Example.pdf,recommendations,0.7,"A team exercise requires that participants work together to complete a difficult task under pressure of a deadline. Requires a high level of cooperation, communication,",auto_backfill|content_heuristic
d7a7606c-72af-4f2e-b02e-fd8fe74da21b,A8-Approach Example.pdf,recommendations,0.7,Another team exercise requires leadership and problem solving to accomplish something very challenging. Achieving this task becomes a symbol for realizing the,auto_backfill|content_heuristic
d7a7606c-72af-4f2e-b02e-fd8fe74da21b,A8-Approach Example.pdf,recommendations,0.7,"A complex problem-solving event demands full participation and commitment from every team member for success. Includes dimensions of leadership, delegation,",auto_backfill|content_heuristic
62e80cb0-eb6b-4a2f-ae41-1d8e2f552287,A8-Assessments and Assertions.pdf,recommendations,0.7,Ability to clearly distinguish assessments from assertions – both in your own speaking,auto_backfill|content_heuristic
62e80cb0-eb6b-4a2f-ae41-1d8e2f552287,A8-Assessments and Assertions.pdf,recommendations,0.7,Cultivation of sufficient self-awareness so that you notice the assessments you are,auto_backfill|content_heuristic
62e80cb0-eb6b-4a2f-ae41-1d8e2f552287,A8-Assessments and Assertions.pdf,recommendations,0.7,Willingness to give up your belief that your perspective is the “right” one or the “true”,auto_backfill|content_heuristic
62e80cb0-eb6b-4a2f-ae41-1d8e2f552287,A8-Assessments and Assertions.pdf,recommendations,0.7,Willingness and ability to shift your attention to what the other person is saying rather,auto_backfill|content_heuristic
62e80cb0-eb6b-4a2f-ae41-1d8e2f552287,A8-Assessments and Assertions.pdf,recommendations,0.7,Assertions are statements of fact; they can be proven true or false with demonstrable,auto_backfill|content_heuristic
6f07d47a-98a1-4b63-90ad-8dea9b06742f,A8-Authentic Communication and Collaboration-WP.pdf,recommendations,0.7,Each of us wants our important purposes understood and respected.,auto_backfill|content_heuristic
6f07d47a-98a1-4b63-90ad-8dea9b06742f,A8-Authentic Communication and Collaboration-WP.pdf,recommendations,0.7,Intersections of purpose allow reinvention of methods and outcomes.,auto_backfill|content_heuristic
6f07d47a-98a1-4b63-90ad-8dea9b06742f,A8-Authentic Communication and Collaboration-WP.pdf,recommendations,0.7,"Each person’s view is subjectively genuine, and yet no individual view is ever the whole truth.",auto_backfill|content_heuristic
6f07d47a-98a1-4b63-90ad-8dea9b06742f,A8-Authentic Communication and Collaboration-WP.pdf,recommendations,0.7,The intersection is dynamic and is a continual product of research and adjustment.,auto_backfill|content_heuristic
6f07d47a-98a1-4b63-90ad-8dea9b06742f,A8-Authentic Communication and Collaboration-WP.pdf,recommendations,0.7,"What is real, factual, observable, with...",auto_backfill|content_heuristic
92bd5a72-7a50-485e-8923-67c5426d9036,A8-Awareness-WP.pdf,recommendations,0.7,...Intellectual beings in constant thoughts and conversations with ourselves and others. Our,auto_backfill|content_heuristic
92bd5a72-7a50-485e-8923-67c5426d9036,A8-Awareness-WP.pdf,recommendations,0.7,...Emotional beings. Our moods and emotions shape our behavior and how we interact with the,auto_backfill|content_heuristic
92bd5a72-7a50-485e-8923-67c5426d9036,A8-Awareness-WP.pdf,recommendations,0.7,...Physical beings. Our physical experience of ourselves encompasses internal processes such as,auto_backfill|content_heuristic
92bd5a72-7a50-485e-8923-67c5426d9036,A8-Awareness-WP.pdf,recommendations,0.7,Breathing gets shallow,auto_backfill|content_heuristic
92bd5a72-7a50-485e-8923-67c5426d9036,A8-Awareness-WP.pdf,recommendations,0.7,Breathing gets rapid,auto_backfill|content_heuristic
e6115b7a-9310-49d3-9ce1-712e71e0e99e,A8-Case Study-GROW2.pdf,recommendations,0.7,Facilitating conversations on challenging topics,auto_backfill|content_heuristic
e6115b7a-9310-49d3-9ce1-712e71e0e99e,A8-Case Study-GROW2.pdf,recommendations,0.7,Introducing awareness and communications tools,auto_backfill|content_heuristic
e6115b7a-9310-49d3-9ce1-712e71e0e99e,A8-Case Study-GROW2.pdf,recommendations,0.7,Placing the family members into shared experiences that,auto_backfill|content_heuristic
e6115b7a-9310-49d3-9ce1-712e71e0e99e,A8-Case Study-GROW2.pdf,recommendations,0.7,Moved from a place of dis-,auto_backfill|content_heuristic
e6115b7a-9310-49d3-9ce1-712e71e0e99e,A8-Case Study-GROW2.pdf,recommendations,0.7,Stepped into difficult con-,auto_backfill|content_heuristic
bbd06184-c014-40b5-8739-130375504819,A8-Company Roadmap-Work Sample.pdf,recommendations,0.7,"Wellness – Make great nutrition, fitness, mental",auto_backfill|content_heuristic
bbd06184-c014-40b5-8739-130375504819,A8-Company Roadmap-Work Sample.pdf,recommendations,0.7,"Enjoyment – Seek out experiences that are fun,",auto_backfill|content_heuristic
bbd06184-c014-40b5-8739-130375504819,A8-Company Roadmap-Work Sample.pdf,recommendations,0.7,"Learning – Challenge my beliefs, follow my",auto_backfill|content_heuristic
bbd06184-c014-40b5-8739-130375504819,A8-Company Roadmap-Work Sample.pdf,recommendations,0.7,"Connection – Take opportunities to be attentive,",auto_backfill|content_heuristic
bbd06184-c014-40b5-8739-130375504819,A8-Company Roadmap-Work Sample.pdf,recommendations,0.7,Feeling of well-being better today than yesterday,auto_backfill|content_heuristic
54727426-c7a5-4027-a7b5-8d916700879a,A8-Couples Retreat.pdf,recommendations,0.7,Intentionally designed interactions support learning from the community.,auto_backfill|content_heuristic
54727426-c7a5-4027-a7b5-8d916700879a,A8-Couples Retreat.pdf,recommendations,0.7,Centering techniques enable participants to learn how to engage most effectively in challenging,auto_backfill|content_heuristic
54727426-c7a5-4027-a7b5-8d916700879a,A8-Couples Retreat.pdf,recommendations,0.7,Life principles and communications tools help participants get really clear on what’s important to,auto_backfill|content_heuristic
54727426-c7a5-4027-a7b5-8d916700879a,A8-Couples Retreat.pdf,recommendations,0.7,Developing new stories and rituals support participants in making the shifts they seek and in,auto_backfill|content_heuristic
54727426-c7a5-4027-a7b5-8d916700879a,A8-Couples Retreat.pdf,recommendations,0.7,Development of a Roadmap to support aligned action and ongoing monitoring.,auto_backfill|content_heuristic
1101b65c-c272-498a-8487-c34a65e1de28,A8-Customer learning.pdf,recommendations,0.7,What did I learn? Honesty most often deals with choosing to leave out certain information and,auto_backfill|content_heuristic
1101b65c-c272-498a-8487-c34a65e1de28,A8-Customer learning.pdf,recommendations,0.7,Applied to my role? Everyone is better off in the end when the hard facts and conversations are,auto_backfill|content_heuristic
1101b65c-c272-498a-8487-c34a65e1de28,A8-Customer learning.pdf,recommendations,0.7,"Outcome? Overall, this will allow me to live with more integrity – meaning I will be in better",auto_backfill|content_heuristic
